"country","year","GDP","GDP_per_cap","total_co2","pop"
"Afghanistan",2014,20050189882,612.0696514,9.8012,32758020.0000748
"Albania",2014,13219857459,4575.763787,5.2155,2889103.99976466
"Algeria",2014,2.14e+11,5470.851007,140.6704,39116400.6707887
"Andorra",2014,NA,NA,0.4617,NA
"Angola",2014,1.27e+11,4709.312024,33.2924,26967845.6965204
"Antigua and Barbuda",2014,1274330333,12888.29667,NA,98874.9999808935
"Argentina",2014,5.26e+11,12245.25645,199.7888,42955409.0718941
"Armenia",2014,11609512940,3994.712355,5.4325,2906219.99991286
"Australia",2014,1.46e+12,62214.60912,378.8118,23467157.0014037
"Austria",2014,4.38e+11,51322.63997,62.9711,8534245.32050626
"Azerbaijan",2014,75244166773,7891.299776,33.149,9535078.9995131
"Bahamas, The",2014,8.618e+09,22550.23301,NA,382169.000035534
"Bahrain",2014,33387712766,24983.37902,30.4375,1336396.9997522
"Bangladesh",2014,1.73e+11,1084.56543,70.7412,159510892.76375
"Barbados",2014,4352700000,15359.66971,1.2859,283384.999949976
"Belarus",2014,78813049850,8318.429294,60.2293,9474511.00015325
"Belgium",2014,5.32e+11,47439.39684,90.4011,11214307.841946
"Belize",2014,1706497950,4852.223666,0.4946,351694.000002019
"Benin",2014,9707432016,943.686575,6.4362,10286712.0007509
"Bhutan",2014,1958819915,2522.796008,1.0039,776448.000071514
"Bolivia",2014,32996187988,3124.00031,20.427,10562158.9992736
"Bosnia and Herzegovina",2014,18521475376,5193.904932,NA,3566002.00013056
"Botswana",2014,16259445050,7497.762376,7.0632,2168573.00013211
"Brazil",2014,2.46e+12,12026.61731,514.482,204546293.990292
"Brunei Darussalam",2014,17123125493,41590.86502,NA,411704.000019377
"Bulgaria",2014,56732006512,7853.335191,43.0533,7223937.99987239
"Burkina Faso",2014,12400688571,705.1464113,2.8469,17585977.0003484
"Burundi",2014,3093647227,312.7489794,0.4397,9891790.00019464
"Cabo Verde",2014,1858121723,3529.618403,NA,526436.999937639
"Cambodia",2014,16777820333,1098.687123,6.7962,15270790.0017865
"Cameroon",2014,32050817633,1441.140107,7.9468,22239904.0019223
"Canada",2014,1.79e+12,50440.43376,564.3864,35487402.9933402
"Central African Republic",2014,1702898940,377.1320274,0.3004,4515392.00141664
"Chad",2014,13922223234,1025.998515,0.7291,13569437.9967012
"Chile",2014,2.61e+11,14817.37778,78.3471,17614452.6970412
"China",2014,1.05e+13,7683.502038,10328.7336,1366564354.12792
"Colombia",2014,3.78e+11,7913.383432,79.9831,47767178.6345459
"Comoros",2014,647720707.1,852.9543079,0.1539,759384.999994558
"Congo, Dem. Rep.",2014,34028119333,461.5680853,NA,73722859.9999134
"Congo, Rep.",2014,14177437627,2910.520153,NA,4871100.99972567
"Costa Rica",2014,50656002896,10647.44179,7.9175,4757575.00206066
"Cote d'Ivoire",2014,35372603446,1569.928275,10.6471,22531350.004509
"Croatia",2014,57080369368,13467.46827,16.3088,4238388.99959777
"Cuba",2014,80656100000,7050.50199,30.2895,11439767.0001934
"Cyprus",2014,23308212817,27340.88382,6.1264,852503.999887155
"Czech Republic",2014,2.08e+11,19744.55861,98.3893,10534547.9789381
"Denmark",2014,3.52e+11,62425.5392,35.6084,5638717.8150317
"Djibouti",2014,1.588e+09,1740.915011,0.7218,912163.999946118
"Dominica",2014,528178703.7,7257.395143,0.1356,72777.9999976226
"Dominican Republic",2014,65231032303,6268.692122,21.6526,10405843.9995915
"Ecuador",2014,1.02e+11,6432.216537,43.2238,15857675.0974203
"Egypt, Arab Rep.",2014,3.06e+11,3327.754247,NA,91953905.6334649
"El Salvador",2014,25054230000,3988.771871,6.3783,6281189.0000916
"Equatorial Guinea",2014,21461989483,19002.59733,5.0322,1129423.99979803
"Eritrea",2014,NA,NA,0.7102,NA
"Estonia",2014,26213940387,19941.45532,17.7435,1314545.00016902
"Ethiopia",2014,55612228234,571.1622759,11.8194,97366773.9984576
"Fiji",2014,4469810099,5046.03728,1.1688,885806.000030186
"Finland",2014,2.73e+11,49914.61864,45.8729,5469339.59305514
"France",2014,2.85e+12,42955.24287,294.1512,66348129.1125569
"Gabon",2014,18179717776,9692.163874,5.7625,1875712.9999389
"Gambia, The",2014,849122624.8,442.7466899,NA,1917852.00018499
"Georgia",2014,16509305828,4429.650075,8.5297,3726999.99965573
"Germany",2014,3.88e+12,47902.65288,740.7404,80997601.734495
"Ghana",2014,38616536132,1432.227943,14.7143,26962562.991972
"Greece",2014,2.36e+11,21673.78107,68.4338,10888732.2999983
"Grenada",2014,911481481.5,8569.776998,0.2418,106359.999999151
"Guatemala",2014,58722323918,3687.763767,17.8841,15923558.998946
"Guinea",2014,6624068016,561.0997387,2.4439,11805509.0015675
